project_id,project_date,status
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-02-16,initial
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-02-17,initial
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-02-18,initial
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-02-19,initial
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-02-20,initial
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-02-21,initial
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-02-22,initial
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-02-23,initial
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-02-24,initial
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-02-25,initial
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-02-26,initial
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-02-27,initial
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-02-28,initial
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-02-29,initial
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-03-01,initial
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-03-02,initial
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-03-03,initial
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-03-04,initial
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-03-05,initial
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-03-06,initial
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-03-07,initial
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-03-08,initial
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-03-09,initial
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-03-10,initial
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-03-11,initial
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-03-12,initial
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-03-13,initial
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-03-14,initial
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-03-15,initial
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-03-16,initial
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-03-17,initial
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-03-18,initial
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-03-19,initial
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-03-20,initial
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-03-21,initial
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-03-22,initial
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-03-23,initial
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-03-24,initial
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-03-25,initial
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-03-26,initial
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-03-27,initial
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-03-28,initial
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-03-29,initial
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-03-30,initial
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-03-31,initial
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-04-01,initial
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-04-02,initial
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-04-03,initial
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-04-04,initial
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-04-05,initial
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-04-06,initial
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-04-07,initial
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-04-08,initial
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-04-09,initial
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-04-10,initial
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-04-11,initial
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-04-12,initial
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-04-13,initial
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-04-14,initial
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-04-15,initial
23331d2e-22e2-4340-b2cd-091dae9a2d58,2024-04-16,initial
